Date,Trend Line
2013-12-31,23.46118677593468
2014-01-02,23.50945287733568
2014-01-03,23.557718978736684
2014-01-06,23.605985080137682
2014-01-07,23.654251181538687
2014-01-08,23.70251728293969
2014-01-09,23.75078338434069
2014-01-10,23.799049485741694
2014-01-13,23.8473155871427
2014-01-14,23.895581688543697
2014-01-15,23.9438477899447
2014-01-16,23.992113891345706
2014-01-17,24.040379992746704
2014-01-21,24.08864609414771
2014-01-22,24.136912195548714
2014-01-23,24.18517829694971
2014-01-24,24.233444398350716
2014-01-27,24.28171049975172
2014-01-28,24.32997660115272
2014-01-29,24.378242702553724
2014-01-30,24.42650880395473
2014-01-31,24.474774905355726
2014-02-03,24.52304100675673
2014-02-04,24.571307108157736
2014-02-05,24.619573209558734
2014-02-06,24.66783931095974
2014-02-07,24.716105412360744
2014-02-10,24.76437151376174
2014-02-11,24.812637615162746
2014-02-12,24.86090371656375
2014-02-13,24.90916981796475
2014-02-14,24.957435919365754
2014-02-18,25.00570202076676
2014-02-19,25.053968122167756
2014-02-20,25.10223422356876
2014-02-21,25.150500324969766
2014-02-24,25.198766426370764
2014-02-25,25.24703252777177
2014-02-26,25.295298629172766
2014-02-27,25.34356473057377
2014-02-28,25.391830831974776
2014-03-03,25.440096933375774
2014-03-04,25.48836303477678
2014-03-05,25.536629136177783
2014-03-06,25.58489523757878
2014-03-07,25.633161338979786
2014-03-10,25.68142744038079
2014-03-11,25.72969354178179
2014-03-12,25.777959643182793
2014-03-13,25.826225744583798
2014-03-14,25.874491845984796
2014-03-17,25.9227579473858
2014-03-18,25.971024048786806
2014-03-19,26.019290150187803
2014-03-20,26.067556251588808
2014-03-21,26.115822352989813
2014-03-24,26.16408845439081
2014-03-25,26.212354555791816
2014-03-26,26.26062065719282
2014-03-27,26.308886758593818
2014-03-28,26.357152859994823
2014-03-31,26.405418961395828
2014-04-01,26.453685062796826
2014-04-02,26.50195116419783
2014-04-03,26.550217265598835
2014-04-04,26.598483366999833
2014-04-07,26.646749468400838
2014-04-08,26.695015569801843
2014-04-09,26.74328167120284
2014-04-10,26.791547772603845
2014-04-11,26.83981387400485
2014-04-14,26.888079975405848
2014-04-15,26.936346076806853
2014-04-16,26.98461217820785
2014-04-17,27.032878279608855
2014-04-21,27.08114438100986
2014-04-22,27.129410482410858
2014-04-23,27.177676583811863
2014-04-24,27.225942685212868
2014-04-25,27.274208786613865
2014-04-28,27.32247488801487
2014-04-29,27.370740989415875
2014-04-30,27.419007090816873
2014-05-01,27.467273192217878
2014-05-02,27.515539293618883
2014-05-05,27.56380539501988
2014-05-06,27.612071496420885
2014-05-07,27.66033759782189
2014-05-08,27.708603699222888
2014-05-09,27.756869800623893
2014-05-12,27.805135902024897
2014-05-13,27.853402003425895
2014-05-14,27.9016681048269
2014-05-15,27.949934206227905
2014-05-16,27.998200307628903
2014-05-19,28.046466409029907
2014-05-20,28.094732510430912
2014-05-21,28.14299861183191
2014-05-22,28.191264713232915
2014-05-23,28.23953081463392
2014-05-27,28.287796916034917
2014-05-28,28.336063017435922
2014-05-29,28.384329118836927
2014-05-30,28.432595220237925
2014-06-02,28.48086132163893
2014-06-03,28.529127423039935
2014-06-04,28.577393524440932
2014-06-05,28.625659625841937
2014-06-06,28.673925727242935
2014-06-09,28.72219182864394
2014-06-10,28.770457930044945
2014-06-11,28.818724031445942
2014-06-12,28.866990132846947
2014-06-13,28.915256234247952
2014-06-16,28.96352233564895
2014-06-17,29.011788437049955
2014-06-18,29.06005453845096
2014-06-19,29.108320639851957
2014-06-20,29.156586741252962
2014-06-23,29.204852842653967
2014-06-24,29.253118944054965
2014-06-25,29.30138504545597
2014-06-26,29.349651146856974
2014-06-27,29.397917248257972
2014-06-30,29.446183349658977
2014-07-01,29.49444945105998
2014-07-02,29.54271555246098
2014-07-03,29.590981653861984
2014-07-07,29.63924775526299
2014-07-08,29.687513856663987
2014-07-09,29.73577995806499
2014-07-10,29.784046059465997
2014-07-11,29.832312160866994
2014-07-14,29.880578262268
2014-07-15,29.928844363669004
2014-07-16,29.97711046507
2014-07-17,30.025376566471007
2014-07-18,30.07364266787201
2014-07-21,30.12190876927301
2014-07-22,30.170174870674014
2014-07-23,30.21844097207502
2014-07-24,30.266707073476017
2014-07-25,30.31497317487702
2014-07-28,30.36323927627802
2014-07-29,30.411505377679024
2014-07-30,30.45977147908003
2014-07-31,30.508037580481027
2014-08-01,30.55630368188203
2014-08-04,30.604569783283036
2014-08-05,30.652835884684034
2014-08-06,30.70110198608504
2014-08-07,30.749368087486044
2014-08-08,30.79763418888704
2014-08-11,30.845900290288046
2014-08-12,30.89416639168905
2014-08-13,30.94243249309005
2014-08-14,30.990698594491054
2014-08-15,31.03896469589206
2014-08-18,31.087230797293056
2014-08-19,31.13549689869406
2014-08-20,31.183763000095066
2014-08-21,31.232029101496064
2014-08-22,31.28029520289707
2014-08-25,31.328561304298074
2014-08-26,31.37682740569907
2014-08-27,31.425093507100076
2014-08-28,31.47335960850108
2014-08-29,31.52162570990208
2014-09-02,31.569891811303084
2014-09-03,31.61815791270409
2014-09-04,31.666424014105086
2014-09-05,31.71469011550609
2014-09-08,31.762956216907096
2014-09-09,31.811222318308094
2014-09-10,31.8594884197091
2014-09-11,31.907754521110103
2014-09-12,31.9560206225111
2014-09-15,32.0042867239121
2014-09-16,32.0525528253131
2014-09-17,32.10081892671411
2014-09-18,32.14908502811511
2014-09-19,32.19735112951611
2014-09-22,32.24561723091712
